Stock,Entry Date,Exit Date,Entry Price,Exit Price,Profit %,Holding Days,Confidence,ActualOutcome
WIPRO.NS,2025-11-14,2026-06-10,244.37,178.93,-26.78,208,70,LOSS
TCS.NS,2025-11-14,2026-06-10,3106.0,2153.9,-30.65,208,65,LOSS
RELIANCE.NS,2025-11-14,2026-06-10,1518.9,1258.8,-17.12,208,75,LOSS
