Stock,Signal,Confidence,Date,Price,RSI,MACD,Pattern,Insider,News,Risks
TCS.NS,SELL,45.0,2025-08-08,3036.4,,,,,,
TCS.NS,SELL,40.0,2025-08-08,3036.4,,,,,,
TCS.NS,SELL,40.0,2025-08-08,3036.4,,,,,,
TCS.NS,SELL,25.0,2025-08-08,3036.4,,,,,,
TCS.NS,BUY,50.0,2025-11-14,3106.0,,,,,,
TCS.NS,BUY,65.0,2025-11-14,3106.0,,,,,,
TCS.NS,SELL,40.0,2026-06-10,2153.9,,,,,,
TCS.NS,SELL,45.0,2026-06-19,2125.0,,,,,,
