Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-26 00:00:00+05:30,299.4496625087566,300.969480679195,298.07694571702456,299.1064758300781,6516148,0.0,0.0
2024-12-27 00:00:00+05:30,299.2535984657925,304.84252364119806,298.76334029656476,303.0776062011719,8063921,0.0,0.0
2024-12-30 00:00:00+05:30,303.0775883272892,303.3717312422853,296.7532463480337,297.7828063964844,13709891,0.0,0.0
2024-12-31 00:00:00+05:30,295.08638289591505,297.0964292766136,289.49742819775634,295.9688415527344,9337030,0.0,0.0
2025-01-01 00:00:00+05:30,294.1548927210035,297.4396283409846,293.1253625656732,294.44903564453125,7878201,0.0,0.0
2025-01-02 00:00:00+05:30,292.1938764337386,298.51821894990434,291.36043153985077,297.880859375,8800435,0.0,0.0
2025-01-03 00:00:00+05:30,297.39058873114067,297.8808468925326,288.2717988984445,288.7130432128906,12535720,0.0,0.0
2025-01-06 00:00:00+05:30,289.252321897312,291.9977556952793,284.8890121910233,288.5659484863281,9173687,0.0,0.0
2025-01-07 00:00:00+05:30,288.56592985177406,291.70359392367544,285.6243810054849,288.32080078125,7381943,0.0,0.0
2025-01-08 00:00:00+05:30,287.2912871413454,292.63511315463563,283.6633647201962,291.75262451171875,7937785,0.0,0.0
2025-01-09 00:00:00+05:30,291.21335828473457,292.1938746425956,285.67344684741647,286.60491943359375,7964702,0.0,0.0
2025-01-10 00:00:00+05:30,288.56592614759387,297.34155872890096,288.56592614759387,294.69415283203125,19505556,0.0,0.0
2025-01-13 00:00:00+05:30,293.1253682019159,293.4195111310995,284.5948641797882,286.1636962890625,9541248,0.0,0.0
2025-01-14 00:00:00+05:30,286.1146355197009,288.8110552612858,280.96692510394803,287.1441955566406,7670070,0.0,0.0
2025-01-15 00:00:00+05:30,287.29127628967143,288.9581659711254,284.05558446447577,286.9480895996094,4662694,0.0,0.0
2025-01-16 00:00:00+05:30,290.13477270918526,290.72308848498255,281.1140405312321,282.4377136230469,10345666,0.0,0.0
2025-01-17 00:00:00+05:30,282.1925697106497,282.1925697106497,275.0348129297978,276.4565734863281,9358955,0.0,0.0
2025-01-20 00:00:00+05:30,296.1159279701811,299.4496774660434,291.16433253457507,294.4000244140625,39380165,0.0,0.0
2025-01-21 00:00:00+05:30,296.50812744334615,299.8909206966876,291.99774641321864,292.53704833984375,15619474,0.0,0.0
2025-01-22 00:00:00+05:30,293.5175719012314,303.960064921185,293.5175719012314,303.0776062011719,30859317,0.0,0.0
2025-01-23 00:00:00+05:30,305.03862672267815,318.27559676435,304.59738241876266,311.5100402832031,39904371,0.0,0.0
2025-01-24 00:00:00+05:30,312.7847073091648,316.2165144426509,310.43147411651387,313.86328125,17479586,0.0,0.0
2025-01-27 00:00:00+05:30,311.60807400445464,312.93177701883235,300.7733806558103,301.95001220703125,12372895,0.0,0.0
2025-01-28 00:00:00+05:30,304.0,307.6000061035156,301.54998779296875,303.6000061035156,12077491,6.0,0.0
2025-01-29 00:00:00+05:30,305.04998779296875,314.70001220703125,305.04998779296875,312.45001220703125,16338112,0.0,0.0
2025-01-30 00:00:00+05:30,311.0,313.70001220703125,305.95001220703125,309.0,9984186,0.0,0.0
2025-01-31 00:00:00+05:30,311.70001220703125,315.70001220703125,309.54998779296875,311.8999938964844,15597644,0.0,0.0
2025-02-01 00:00:00+05:30,312.54998779296875,313.25,303.3500061035156,304.79998779296875,6046117,0.0,0.0
2025-02-03 00:00:00+05:30,303.0,314.0,300.29998779296875,313.6000061035156,14877076,0.0,0.0
2025-02-04 00:00:00+05:30,318.0,318.8500061035156,313.3500061035156,316.25,15366864,0.0,0.0
2025-02-05 00:00:00+05:30,317.79998779296875,321.45001220703125,314.8999938964844,317.1000061035156,9628027,0.0,0.0
2025-02-06 00:00:00+05:30,320.0,323.6000061035156,314.54998779296875,317.95001220703125,15062390,0.0,0.0
2025-02-07 00:00:00+05:30,319.0,319.0,314.0,318.0,8589587,0.0,0.0
2025-02-10 00:00:00+05:30,318.79998779296875,321.0,315.8500061035156,319.04998779296875,12304840,0.0,0.0
2025-02-11 00:00:00+05:30,319.5,320.3999938964844,311.6000061035156,313.0,10627890,0.0,0.0
2025-02-12 00:00:00+05:30,313.45001220703125,315.75,309.3500061035156,310.20001220703125,9668342,0.0,0.0
2025-02-13 00:00:00+05:30,310.29998779296875,313.6499938964844,306.95001220703125,308.54998779296875,8832731,0.0,0.0
2025-02-14 00:00:00+05:30,310.04998779296875,312.3999938964844,304.54998779296875,308.1000061035156,7371341,0.0,0.0
2025-02-17 00:00:00+05:30,308.1000061035156,310.29998779296875,302.0,305.3500061035156,7507772,0.0,0.0
2025-02-18 00:00:00+05:30,305.3500061035156,312.75,305.3500061035156,312.20001220703125,10368789,0.0,0.0
2025-02-19 00:00:00+05:30,311.25,316.5,308.29998779296875,314.1000061035156,7835672,0.0,0.0
2025-02-20 00:00:00+05:30,311.20001220703125,314.29998779296875,310.25,313.29998779296875,7697134,0.0,0.0
2025-02-21 00:00:00+05:30,312.79998779296875,312.79998779296875,305.04998779296875,306.3500061035156,8722925,0.0,0.0
2025-02-24 00:00:00+05:30,302.95001220703125,303.29998779296875,293.3500061035156,295.04998779296875,12600963,0.0,0.0
2025-02-25 00:00:00+05:30,294.3500061035156,296.29998779296875,290.1000061035156,291.29998779296875,10810040,0.0,0.0
2025-02-27 00:00:00+05:30,294.0,295.79998779296875,291.3500061035156,294.5,15555649,0.0,0.0
2025-02-28 00:00:00+05:30,294.0,294.0,277.0,277.6499938964844,17458839,0.0,0.0
2025-03-03 00:00:00+05:30,279.45001220703125,286.3500061035156,279.29998779296875,283.54998779296875,11471554,0.0,0.0
2025-03-04 00:00:00+05:30,279.0,283.1000061035156,276.29998779296875,280.0,9331785,0.0,0.0
2025-03-05 00:00:00+05:30,281.3999938964844,286.95001220703125,278.6499938964844,285.1000061035156,10285712,0.0,0.0
2025-03-06 00:00:00+05:30,288.45001220703125,292.0,283.5,285.8999938964844,9782051,0.0,0.0
2025-03-07 00:00:00+05:30,287.3999938964844,287.70001220703125,282.8999938964844,284.79998779296875,8097300,0.0,0.0
2025-03-10 00:00:00+05:30,284.45001220703125,285.6499938964844,277.95001220703125,280.8999938964844,8165123,0.0,0.0
2025-03-11 00:00:00+05:30,277.0,279.29998779296875,273.20001220703125,277.75,8602609,0.0,0.0
2025-03-12 00:00:00+05:30,277.70001220703125,277.70001220703125,262.20001220703125,268.54998779296875,18584311,0.0,0.0
2025-03-13 00:00:00+05:30,268.54998779296875,271.1000061035156,263.3500061035156,264.0,8683943,0.0,0.0
