Stock,Signal,Confidence,Date,Price
ITC.NS,BUY,65,2025-07-18,420.65
ITC.NS,BUY,60,2025-07-18,421.25
ITC.NS,BUY,65,2025-07-18,421.15
ITC.NS,BUY,70,2025-07-18,422.4
ITC.NS,BUY,65,2025-07-18,422.25
ITC.NS,BUY,65,2025-07-18,422.75
