Ticker,Headline,Sentiment
CDSL.NS,CDSL shares drop 4% after Q1 profit falls 24% YoY to Rs 102 crore - The Economic Times,0.2
CDSL.NS,Why CDSL Share Price is Falling - Equitymaster,0.0
CDSL.NS,Sell CDSL shares to invest in the NSDL IPO? Here's what analysts recommend - Business Standard,0.0
CDSL.NS,CDSL shares down 4% ahead of NSDL IPO: What’s the right strategy as Q1 disappoints? - financialexpress.com,0.06507936507936506
CDSL.NS,NSDL vs CDSL: Which offers better long-term value to your money? - Mint,0.3
CDSL.NS,CDSL shares slide 13% in one week as NSDL IPO picks pace - The Economic Times,0.2
CDSL.NS,How does NSDL stack up against peer CDSL? - Moneycontrol,0.0
CDSL.NS,"NSDL vs CDSL: Which depository leads on revenue, market share and growth ahead of NSDL IPO? - Upstox",0.0
CDSL.NS,CDSL shares down 4% after Q1 profit falls 24%; is it still a long-term bet? - MSN,-0.15555555555555559
CDSL.NS,The NSDL IPO is here! Is the pioneer still the best in town? - Finshots,1.0
ITC.NS,ITC shares gain 1.63% in Friday's trading session - Moneycontrol,0.0
ITC.NS,ITC Shares Rise Ahead Of Q1 Results — Heres What Street Expects - NDTV Profit,0.0
ITC.NS,"ITC dips 1%, nears near 52-wk low; analysts decode stock's underperformance - Business Standard",0.03333333333333333
ITC.NS,"Stocks To Watch: ITC, Swiggy, PB Fintech, JSW Energy, Maruti Suzuki, Coal India, And Others - News18",0.0
ITC.NS,"Q1 Results Today: ITC, Adani Power, Godrej Properties, Tata Power Company to declare earnings on August 1 - Mint",0.0
ITC.NS,"Stocks in news: ITC, RIL, Swiggy, PB Fintech, JSW Energy - The Economic Times",0.2
ITC.NS,ITC shares gain 0.64% in morning trade - TradingView,0.0
ITC.NS,ITC Q1 results: Net profit expected to remain flat; check earnings preview and key technical levels - Upstox,-0.025
ITC.NS,"Buying ITC, Delhivery, NCC, IndiGo or City Union Bank shares? Latest fundamental and technical stock picks - Zee Business",0.25
ITC.NS,"Opening bell: Sensex, Nifty poised for weak opening; Swiggy, Coal India, JSW Energy, Mankind Pharma, ITC shares in focus - Fortune India",-0.375
