Stock,Signal,RSI,MACD,Date,Rank
RELIANCE.NS,⏳,71.6,21.2,2025-06-28,99
WIPRO.NS,⏳,60.35,4.49,2025-06-28,99
TCS.NS,⏳,50.16,-3.53,2025-06-28,99
