Stock,Signal,RSI,MACD,Date,confidence,Insider,OptionScore,ManagementTrustScore,Rank
RELIANCE.NS,BUY,50.76,5.17,2026-06-25,70.0,Unknown,50,60,1
ITC.NS,HOLD,0.0,0.0,2025-07-18,0.0,Unknown,50,60,2
ZEEL.NS,HOLD,0.0,0.0,2025-07-18,0.0,Unknown,50,60,2
WIPRO.NS,SELL,30.52,-0.96,2026-06-25,50.0,Unknown,50,60,3
TCS.NS,SELL,40.83,-2.43,2026-06-25,25.0,Unknown,50,60,3
INFY.NS,NoPattern,0.0,0.0,,0.0,Unknown,50,60,99
